id,industry,company_size_desc,company_size_tag,problem_title,raw_input_text,stakeholders,existing_systems,budget_band,timeline_target,discovery_questions,gap_analysis,brd_objectives,functional_requirements,non_functional_requirements,assumptions,hld_summary,tech_stack,security_notes,effort_breakdown_json,cost_band
100001,Non-profit,a 5-person startup,startup,Siloed departments,"We're a 5-person startup in the non-profit space. Marketing, sales, and support each use different tools that don't talk to each other. Right now we rely on a mix of Zoho apps. We'd like this fixed in roughly 9-12 months, budget is around under $20K. Key people involved: Store Managers.",Store Managers,a mix of Zoho apps,under $20K,9-12 months,"Is a mix of Zoho apps staying in place, or is this a full replacement? | How many store managers currently touch this process each week? | Are there any compliance or data-residency requirements we should design around?","Current state: Marketing, sales, and support each use different tools that don't talk to each other. Desired state: a single system of record that store managers and store managers can both rely on, with automated handoffs replacing the manual steps in a mix of Zoho apps.","Eliminate manual handling of 'siloed departments', give leadership real-time visibility, and reduce processing time/errors within 9-12 months.",Capture and structure the data currently spread across a mix of Zoho apps; automate the workflow steps tied to 'siloed departments'; provide role-based dashboards for Store Managers and Store Managers; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes a mix of Zoho apps data can be exported or accessed via API; assumes budget band (under $20K) covers a single-region deployment.,"A React client talks to a .NET Core API layer, which reads/writes to MongoDB and handles the core 'siloed departments' workflow; async jobs handle notifications and reporting; deployed on GCP.",Frontend: React. Backend: .NET Core (aligns with an existing Microsoft-centric environment). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: GCP (strong data/analytics tooling at competitive cost).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 2, ""design_weeks"": 2, ""build_weeks"": 8, ""test_weeks"": 1, ""deploy_weeks"": 1, ""total_weeks"": 14}",low
100002,Retail,a 300-person mid-market company,mid-market,Fragmented customer data,"We're a 300-person mid-market company in the retail space. Customer records live in three or more systems that never sync with each other. Right now we rely on QuickBooks. We'd like this fixed in roughly 6 weeks, budget is around $750K+. Key people involved: Founder/CEO.",Founder/CEO,QuickBooks,$750K+,6 weeks,"What's the rough budget band you're planning around? | How many founder/ceo currently touch this process each week? | What's the target timeline — 6 weeks was mentioned, is that firm?","Current state: Customer records live in three or more systems that never sync with each other. Desired state: a single system of record that founder/ceo and founder/ceo can both rely on, with automated handoffs replacing the manual steps in QuickBooks.","Eliminate manual handling of 'fragmented customer data', give leadership real-time visibility, and reduce processing time/errors within 6 weeks.",Capture and structure the data currently spread across QuickBooks; automate the workflow steps tied to 'fragmented customer data'; provide role-based dashboards for Founder/CEO and Founder/CEO; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes QuickBooks data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A Vue.js client talks to a Python/FastAPI API layer, which reads/writes to MongoDB and handles the core 'fragmented customer data' workflow; async jobs handle notifications and reporting; deployed on AWS.",Frontend: Vue.js. Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: AWS (broad managed-service ecosystem and mature tooling).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 2, ""design_weeks"": 1, ""build_weeks"": 6, ""test_weeks"": 1, ""deploy_weeks"": 1, ""total_weeks"": 11}",high
100003,Energy & Utilities,a 300-person mid-market company,mid-market,Manual order processing,"We're a 300-person mid-market company in the energy & utilities space. Orders are tracked in spreadsheets and email, causing delays and pricing errors. Right now we rely on no formal system — mostly email. We'd like this fixed in roughly 9-12 months, budget is around $750K+. Key people involved: Finance Controller; Founder/CEO; Head of Customer Support; Warehouse Supervisors.",Finance Controller; Founder/CEO; Head of Customer Support; Warehouse Supervisors,no formal system — mostly email,$750K+,9-12 months,"Are there any compliance or data-residency requirements we should design around? | What's the target timeline — 9-12 months was mentioned, is that firm? | Is no formal system — mostly email staying in place, or is this a full replacement? | What does success look like in 90 days after launch?","Current state: Orders are tracked in spreadsheets and email, causing delays and pricing errors. Desired state: a single system of record that finance controller and warehouse supervisors can both rely on, with automated handoffs replacing the manual steps in no formal system — mostly email.","Eliminate manual handling of 'manual order processing', give leadership real-time visibility, and reduce processing time/errors within 9-12 months.",Capture and structure the data currently spread across no formal system — mostly email; automate the workflow steps tied to 'manual order processing'; provide role-based dashboards for Finance Controller and Warehouse Supervisors; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes no formal system — mostly email data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A Vue.js client talks to a Node.js/Express API layer, which reads/writes to PostgreSQL and handles the core 'manual order processing' workflow; async jobs handle notifications and reporting; deployed on AWS.","Frontend: Vue.js. Backend: Node.js/Express (fast to build with, shares JS with the frontend team). Database: PostgreSQL (relational integrity for transactional records). Hosting: AWS (broad managed-service ecosystem and mature tooling).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 2, ""build_weeks"": 13, ""test_weeks"": 3, ""deploy_weeks"": 2, ""total_weeks"": 21}",high
100004,Human Resources,a 5-person startup,startup,Fragmented customer data,"We're a 5-person startup in the human resources space. Customer records live in three or more systems that never sync with each other. Right now we rely on QuickBooks. We'd like this fixed in roughly 12-18 months, budget is around $750K+. Key people involved: Warehouse Supervisors; HR Director.",Warehouse Supervisors; HR Director,QuickBooks,$750K+,12-18 months,"Who signs off on the final solution — is it HR Director? | How many warehouse supervisors currently touch this process each week? | What's the target timeline — 12-18 months was mentioned, is that firm?","Current state: Customer records live in three or more systems that never sync with each other. Desired state: a single system of record that warehouse supervisors and hr director can both rely on, with automated handoffs replacing the manual steps in QuickBooks.","Eliminate manual handling of 'fragmented customer data', give leadership real-time visibility, and reduce processing time/errors within 12-18 months.",Capture and structure the data currently spread across QuickBooks; automate the workflow steps tied to 'fragmented customer data'; provide role-based dashboards for Warehouse Supervisors and HR Director; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes QuickBooks data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A Vue.js client talks to a Node.js/Express API layer, which reads/writes to MySQL and handles the core 'fragmented customer data' workflow; async jobs handle notifications and reporting; deployed on Azure.","Frontend: Vue.js. Backend: Node.js/Express (fast to build with, shares JS with the frontend team). Database: MySQL (widely supported, low operational overhead). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 3, ""build_weeks"": 8, ""test_weeks"": 2, ""deploy_weeks"": 1, ""total_weeks"": 15}",high
100005,Education,a 300-person mid-market company,mid-market,Scheduling conflicts,"We're a 300-person mid-market company in the education space. Staff and resource scheduling happens in shared spreadsheets and constantly clashes. Right now we rely on Shopify plus manual spreadsheets. We'd like this fixed in roughly 12-18 months, budget is around $20K-$75K. Key people involved: Operations Manager; Regional Manager.",Operations Manager; Regional Manager,Shopify plus manual spreadsheets,$20K-$75K,12-18 months,Who signs off on the final solution — is it Regional Manager? | Do you need this to integrate with any other tools beyond Shopify plus manual spreadsheets? | Are there any compliance or data-residency requirements we should design around? | How many regional manager currently touch this process each week? | What does success look like in 90 days after launch?,"Current state: Staff and resource scheduling happens in shared spreadsheets and constantly clashes. Desired state: a single system of record that operations manager and regional manager can both rely on, with automated handoffs replacing the manual steps in Shopify plus manual spreadsheets.","Eliminate manual handling of 'scheduling conflicts', give leadership real-time visibility, and reduce processing time/errors within 12-18 months.",Capture and structure the data currently spread across Shopify plus manual spreadsheets; automate the workflow steps tied to 'scheduling conflicts'; provide role-based dashboards for Operations Manager and Regional Manager; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Shopify plus manual spreadsheets data can be exported or accessed via API; assumes budget band ($20K-$75K) covers a single-region deployment.,"A Vue.js client talks to a .NET Core API layer, which reads/writes to PostgreSQL and handles the core 'scheduling conflicts' workflow; async jobs handle notifications and reporting; deployed on GCP.",Frontend: Vue.js. Backend: .NET Core (aligns with an existing Microsoft-centric environment). Database: PostgreSQL (relational integrity for transactional records). Hosting: GCP (strong data/analytics tooling at competitive cost).,FERPA-aligned access controls for student records.,"{""discovery_weeks"": 1, ""design_weeks"": 1, ""build_weeks"": 9, ""test_weeks"": 2, ""deploy_weeks"": 1, ""total_weeks"": 14}",low
100006,Energy & Utilities,"a 2,000+ employee enterprise",enterprise,Manual order processing,"We're a 2,000+ employee enterprise in the energy & utilities space. Orders are tracked in spreadsheets and email, causing delays and pricing errors. Right now we rely on HubSpot free tier. We'd like this fixed in roughly 12-18 months, budget is around $750K+. Key people involved: Compliance Officer; Operations Manager; Warehouse Supervisors; CFO.",Compliance Officer; Operations Manager; Warehouse Supervisors; CFO,HubSpot free tier,$750K+,12-18 months,How many operations manager currently touch this process each week? | Do you need this to integrate with any other tools beyond HubSpot free tier? | Are there any compliance or data-residency requirements we should design around?,"Current state: Orders are tracked in spreadsheets and email, causing delays and pricing errors. Desired state: a single system of record that compliance officer and cfo can both rely on, with automated handoffs replacing the manual steps in HubSpot free tier.","Eliminate manual handling of 'manual order processing', give leadership real-time visibility, and reduce processing time/errors within 12-18 months.",Capture and structure the data currently spread across HubSpot free tier; automate the workflow steps tied to 'manual order processing'; provide role-based dashboards for Compliance Officer and CFO; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes HubSpot free tier data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A React Native (mobile-first) client talks to a Java/Spring Boot API layer, which reads/writes to MySQL and handles the core 'manual order processing' workflow; async jobs handle notifications and reporting; deployed on GCP.","Frontend: React Native (mobile-first). Backend: Java/Spring Boot (matches enterprise reliability and existing ops skillset). Database: MySQL (widely supported, low operational overhead). Hosting: GCP (strong data/analytics tooling at competitive cost).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 3, ""design_weeks"": 4, ""build_weeks"": 6, ""test_weeks"": 4, ""deploy_weeks"": 1, ""total_weeks"": 18}",high
100007,Travel & Tourism,a 40-person SME,sme,Manual compliance reporting,"We're a 40-person SME in the travel & tourism space. Compliance reports are assembled by hand from scattered spreadsheets each cycle. Right now we rely on a homegrown PHP app from 2012. We'd like this fixed in roughly 3 months, budget is around under $20K. Key people involved: Head of Marketing.",Head of Marketing,a homegrown PHP app from 2012,under $20K,3 months,"Are there any compliance or data-residency requirements we should design around? | Who signs off on the final solution — is it Head of Marketing? | Do you need this to integrate with any other tools beyond a homegrown PHP app from 2012? | How many head of marketing currently touch this process each week? | Is a homegrown PHP app from 2012 staying in place, or is this a full replacement?","Current state: Compliance reports are assembled by hand from scattered spreadsheets each cycle. Desired state: a single system of record that head of marketing and head of marketing can both rely on, with automated handoffs replacing the manual steps in a homegrown PHP app from 2012.","Eliminate manual handling of 'manual compliance reporting', give leadership real-time visibility, and reduce processing time/errors within 3 months.",Capture and structure the data currently spread across a homegrown PHP app from 2012; automate the workflow steps tied to 'manual compliance reporting'; provide role-based dashboards for Head of Marketing and Head of Marketing; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes a homegrown PHP app from 2012 data can be exported or accessed via API; assumes budget band (under $20K) covers a single-region deployment.,"A Vue.js client talks to a Java/Spring Boot API layer, which reads/writes to MongoDB and handles the core 'manual compliance reporting' workflow; async jobs handle notifications and reporting; deployed on AWS.",Frontend: Vue.js. Backend: Java/Spring Boot (matches enterprise reliability and existing ops skillset). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: AWS (broad managed-service ecosystem and mature tooling).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 1, ""build_weeks"": 9, ""test_weeks"": 2, ""deploy_weeks"": 1, ""total_weeks"": 14}",low
100008,Manufacturing,"a 2,000+ employee enterprise",enterprise,Legacy system can't scale,"We're a 2,000+ employee enterprise in the manufacturing space. The aging core system can't handle current transaction volume without crashing. Right now we rely on HubSpot free tier. We'd like this fixed in roughly 9-12 months, budget is around $75K-$250K. Key people involved: Store Managers; Compliance Officer; Product Manager; Head of Marketing.",Store Managers; Compliance Officer; Product Manager; Head of Marketing,HubSpot free tier,$75K-$250K,9-12 months,Are there any compliance or data-residency requirements we should design around? | Do you need this to integrate with any other tools beyond HubSpot free tier? | Who signs off on the final solution — is it Head of Marketing? | What's the rough budget band you're planning around?,"Current state: The aging core system can't handle current transaction volume without crashing. Desired state: a single system of record that store managers and head of marketing can both rely on, with automated handoffs replacing the manual steps in HubSpot free tier.","Eliminate manual handling of 'legacy system can't scale', give leadership real-time visibility, and reduce processing time/errors within 9-12 months.",Capture and structure the data currently spread across HubSpot free tier; automate the workflow steps tied to 'legacy system can't scale'; provide role-based dashboards for Store Managers and Head of Marketing; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes HubSpot free tier data can be exported or accessed via API; assumes budget band ($75K-$250K) covers a single-region deployment.,"A Vue.js client talks to a Java/Spring Boot API layer, which reads/writes to MongoDB and handles the core 'legacy system can't scale' workflow; async jobs handle notifications and reporting; deployed on GCP.",Frontend: Vue.js. Backend: Java/Spring Boot (matches enterprise reliability and existing ops skillset). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: GCP (strong data/analytics tooling at competitive cost).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 3, ""build_weeks"": 9, ""test_weeks"": 3, ""deploy_weeks"": 3, ""total_weeks"": 19}",mid
100009,Banking & Finance,a 5-person startup,startup,Manual order processing,"We're a 5-person startup in the banking & finance space. Orders are tracked in spreadsheets and email, causing delays and pricing errors. Right now we rely on Shopify plus manual spreadsheets. We'd like this fixed in roughly 12-18 months, budget is around $750K+. Key people involved: Regional Manager; Founder/CEO.",Regional Manager; Founder/CEO,Shopify plus manual spreadsheets,$750K+,12-18 months,"What's the target timeline — 12-18 months was mentioned, is that firm? | What does success look like in 90 days after launch? | Are there any compliance or data-residency requirements we should design around?","Current state: Orders are tracked in spreadsheets and email, causing delays and pricing errors. Desired state: a single system of record that regional manager and founder/ceo can both rely on, with automated handoffs replacing the manual steps in Shopify plus manual spreadsheets.","Eliminate manual handling of 'manual order processing', give leadership real-time visibility, and reduce processing time/errors within 12-18 months.",Capture and structure the data currently spread across Shopify plus manual spreadsheets; automate the workflow steps tied to 'manual order processing'; provide role-based dashboards for Regional Manager and Founder/CEO; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Shopify plus manual spreadsheets data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A React client talks to a Java/Spring Boot API layer, which reads/writes to MongoDB and handles the core 'manual order processing' workflow; async jobs handle notifications and reporting; deployed on Azure.",Frontend: React. Backend: Java/Spring Boot (matches enterprise reliability and existing ops skillset). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).,PCI-DSS scope review; SOC 2-aligned access logging and encryption.,"{""discovery_weeks"": 2, ""design_weeks"": 2, ""build_weeks"": 9, ""test_weeks"": 2, ""deploy_weeks"": 1, ""total_weeks"": 16}",high
100010,Automotive,a 5-person startup,startup,No audit trail,"We're a 5-person startup in the automotive space. Changes to records aren't logged anywhere, which makes audits painful and risky. Right now we rely on an outdated Microsoft Access database. We'd like this fixed in roughly 6 weeks, budget is around $750K+. Key people involved: HR Director.",HR Director,an outdated Microsoft Access database,$750K+,6 weeks,"What's the target timeline — 6 weeks was mentioned, is that firm? | What's the rough budget band you're planning around? | Who signs off on the final solution — is it HR Director? | Are there any compliance or data-residency requirements we should design around?","Current state: Changes to records aren't logged anywhere, which makes audits painful and risky. Desired state: a single system of record that hr director and hr director can both rely on, with automated handoffs replacing the manual steps in an outdated Microsoft Access database.","Eliminate manual handling of 'no audit trail', give leadership real-time visibility, and reduce processing time/errors within 6 weeks.",Capture and structure the data currently spread across an outdated Microsoft Access database; automate the workflow steps tied to 'no audit trail'; provide role-based dashboards for HR Director and HR Director; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes an outdated Microsoft Access database data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A Vue.js client talks to a Node.js/Express API layer, which reads/writes to MySQL and handles the core 'no audit trail' workflow; async jobs handle notifications and reporting; deployed on Azure.","Frontend: Vue.js. Backend: Node.js/Express (fast to build with, shares JS with the frontend team). Database: MySQL (widely supported, low operational overhead). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 2, ""design_weeks"": 2, ""build_weeks"": 9, ""test_weeks"": 3, ""deploy_weeks"": 2, ""total_weeks"": 18}",high
